"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","t","wsi_par1","wsi_par2","ValueOrder","Date exported to this file"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t1","0.0003","0.3373","1","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t2","2.0e-05","0.4121","2","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t3","8.0e-06","0.3051","3","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t4","2.0e-05","0.1373","4","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t5","3.0e-06","0.1211","5","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t6","7.0e-06","0.1167","6","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t7","2.0e-05","0.1396","7","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t8","3.0e-05","0.1343","8","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t9","0.0001","0.1656","9","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t10","6.0e-05","0.185","10","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t11","0.0001","0.3932","11","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","wsi_par","MultiAttributeSeries","t12","0.0001","0.401","12","05/27/2018"
