"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 4837.9","1","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12"," 4838","2","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 250"," 4840","3","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 514"," 4842","4","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 803"," 4844","5","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1118"," 4846","6","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1820"," 4850","7","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2207"," 4852","8","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2617"," 4854","9","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3050"," 4856","10","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3505"," 4858","11","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3982"," 4860","12","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4481"," 4862","13","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5001"," 4864","14","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5542"," 4866","15","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6102"," 4868","16","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6683"," 4870","17","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 7283"," 4872","18","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 7902"," 4874","19","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 8539"," 4876","20","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 9195"," 4878","21","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 9868"," 4880","22","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 10558"," 4882","23","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 11265"," 4884","24","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 11988"," 4886","25","04/23/2018"
"Reservoir","Oneida Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12728"," 4888 ","26","04/23/2018"
